iter	RMSE
0	6.437053775
1	6.355412567
2	6.290876049
3	6.238571667
4	6.195721194
5	6.158093932
6	6.123673873
7	6.088931546
8	6.055970067
9	6.034307357
10	6.009209238
11	5.991930002
12	5.976921093
13	5.961702577
14	5.947137332
15	5.932272963
16	5.921208683
17	5.906407893
18	5.897665623
19	5.888704866
20	5.877523364
21	5.870001439
22	5.860953215
23	5.854703356
24	5.846175641
25	5.835518426
26	5.826137855
27	5.822584172
28	5.811915569
29	5.805801273
30	5.80044197
31	5.79150208
32	5.783327995
33	5.780135667
34	5.774867688
35	5.770351337
36	5.767474888
37	5.761652111
38	5.758210518
39	5.755203725
40	5.749920231
41	5.746563468
42	5.742846638
43	5.735827426
44	5.732383438
45	5.727725119
46	5.721018416
47	5.716823514
48	5.711552092
49	5.706605106
50	5.703873709
51	5.700369862
52	5.697866543
53	5.69387378
54	5.691429072
55	5.68902061
56	5.687223573
57	5.683270875
58	5.68010157
59	5.676945605
60	5.672940924
61	5.670448473
62	5.665335792
63	5.662561208
64	5.659061829
65	5.655766239
66	5.652266548
67	5.648678193
68	5.645372618
69	5.643307831
70	5.639944944
71	5.636844351
72	5.634501918
73	5.632647538
74	5.630785227
75	5.629111406
76	5.627021888
77	5.624994572
78	5.622774035
79	5.620021082
80	5.617839494
81	5.613758397
82	5.611158298
83	5.609736232
84	5.606972354
85	5.605481795
86	5.603150717
87	5.599636952
88	5.597924594
89	5.59578072
90	5.594732191
91	5.592365035
92	5.590029573
93	5.588940013
94	5.588209199
95	5.58568395
96	5.584580727
97	5.582485263
98	5.581258957
99	5.580019054
100	5.578782832
101	5.576233883
102	5.574662138
103	5.57175523
104	5.570695796
105	5.56911845
106	5.566011904
107	5.563983449
108	5.562928244
109	5.561427362
110	5.55926539
111	5.557035888
112	5.555825261
113	5.553552802
114	5.552202805
115	5.550403042
116	5.548884259
117	5.547465673
118	5.544747147
119	5.542737339
120	5.542040602
121	5.540359099
122	5.539199621
123	5.536943142
124	5.535493968
125	5.534607559
126	5.533019302
127	5.531674135
128	5.530528789
129	5.52998316
130	5.528058548
131	5.527235192
132	5.52657667
133	5.52556452
134	5.524258965
135	5.522507202
136	5.521160622
137	5.520296892
138	5.519582625
139	5.518165886
140	5.516508759
141	5.515419618
142	5.514309631
143	5.512748916
144	5.512181181
145	5.511422199
146	5.510077508
147	5.509246336
148	5.508186031
149	5.507370038
150	5.506290051
151	5.505490749
152	5.503987735
153	5.503026231
154	5.502208656
155	5.500913108
156	5.500151085
157	5.49956848
158	5.498487136
159	5.497654461
160	5.495942159
161	5.495204105
162	5.494300744
163	5.493893264
164	5.49348512
165	5.492447126
166	5.492060392
167	5.489360498
168	5.488887542
169	5.487339897
170	5.486923538
171	5.486016047
172	5.485124021
173	5.484407993
174	5.483660842
175	5.482782712
176	5.482141301
177	5.481418267
178	5.479961615
179	5.479122119
180	5.478317952
181	5.477738238
182	5.476353073
183	5.475330492
184	5.47497619
185	5.474099656
186	5.473427762
187	5.473179059
188	5.471598174
189	5.470702626
190	5.469701665
191	5.468909937
192	5.467485812
193	5.467038258
194	5.466637309
195	5.465903222
196	5.465382681
197	5.464161409
198	5.463430842
199	5.463183089
200	5.462792756
201	5.461900723
202	5.461356027
203	5.460518551
204	5.460280428
205	5.459687093
206	5.458961167
207	5.458238138
208	5.457453131
209	5.456721174
210	5.455562353
211	5.455180838
212	5.454178789
213	5.45392246
214	5.453736988
215	5.453294801
216	5.45274254
217	5.452161504
218	5.450768453
219	5.450767823
220	5.449952376
221	5.448516055
222	5.447867251
223	5.44716925
224	5.446402434
225	5.445790362
226	5.444835071
227	5.444528872
228	5.443525544
229	5.44293151
230	5.442220222
231	5.441445067
232	5.440535832
233	5.439317315
234	5.438541237
235	5.438111421
236	5.438110991
237	5.437760179
238	5.437084058
239	5.43660395
240	5.435751681
241	5.435307423
242	5.434774277
243	5.433400518
244	5.432675005
245	5.432135547
246	5.432134705
247	5.431651608
248	5.431275609
249	5.43069892
250	5.430461157
251	5.43046077
252	5.43028298
253	5.429831151
254	5.429387649
255	5.429003765
256	5.428390801
257	5.42770368
258	5.426744255
259	5.426381605
260	5.425867287
261	5.425095514
262	5.424735079
263	5.424331876
264	5.423224417
265	5.422913558
266	5.422606609
267	5.421262439
268	5.420822666
269	5.420454335
270	5.420255895
271	5.419842081
272	5.419021585
273	5.418545997
274	5.417886184
275	5.417236388
276	5.415726125
277	5.415465546
278	5.414895406
279	5.413629813
280	5.413029688
281	5.412514824
282	5.412175706
283	5.411454059
284	5.410693273
285	5.410663514
286	5.410247724
287	5.41020051
288	5.409919244
289	5.40942145
290	5.408631037
291	5.408393304
292	5.407571401
293	5.406854416
294	5.406642778
295	5.406380769
296	5.40636387
297	5.405447573
298	5.405366813
299	5.404922584
300	5.404642799
301	5.404531559
302	5.404289992
303	5.404171696
304	5.403749141
305	5.403161912
306	5.402441837
307	5.401470102
308	5.401447587
309	5.400843864
310	5.400588437
311	5.40039759
312	5.399314587
313	5.398636773
314	5.398278262
315	5.397857138
316	5.397403788
317	5.397148361
318	5.396954357
319	5.396403486
320	5.396104554
321	5.395888908
322	5.395280919
323	5.394660431
324	5.394213929
325	5.394011169
326	5.393624225
327	5.393425539
328	5.392706597
329	5.392379015
330	5.391792181
331	5.391179455
332	5.390140746
333	5.389776375
334	5.389260368
335	5.388999841
336	5.388398877
337	5.388262002
338	5.387596209
339	5.38730033
340	5.387152411
341	5.38635927
342	5.385937405
343	5.385861111
344	5.385642246
345	5.384933352
346	5.384762378
347	5.383641972
348	5.383637014
349	5.383336005
350	5.382930488
351	5.382457701
352	5.38181096
353	5.381292143
354	5.380878759
355	5.380453546
356	5.37993127
357	5.379432939
358	5.379367113
359	5.378758021
360	5.378722028
361	5.378537001
362	5.378196358
363	5.377883392
364	5.377612528
365	5.377510506
366	5.377209688
367	5.37688493
368	5.376054778
369	5.375646929
370	5.375622675
371	5.375509419
372	5.37528496
373	5.374965468
374	5.374697103
375	5.374136226
376	5.374010914
377	5.373745103
378	5.373358968
379	5.373276094
380	5.373130368
381	5.372991912
382	5.372967119
383	5.372627506
384	5.372352346
385	5.371254919
386	5.371207311
387	5.371196941
388	5.370978732
389	5.370727955
390	5.370289115
391	5.370271188
392	5.370250628
393	5.369930999
394	5.369902679
395	5.369742492
396	5.369502788
397	5.369146513
398	5.369101317
399	5.368860349
400	5.368670213
401	5.368294314
402	5.367963987
403	5.367810948
404	5.367794142
405	5.36759948
406	5.367271759
407	5.367145663
408	5.366746759
409	5.366562732
410	5.36653549
411	5.36584903
412	5.365445358
413	5.365177641
414	5.364553294
415	5.364221953
416	5.364094891
417	5.363897992
418	5.363271936
419	5.362953412
420	5.362518081
421	5.361483902
422	5.36086698
423	5.360627409
424	5.360359686
425	5.359813974
426	5.358791004
427	5.358459902
428	5.357778468
429	5.357584584
430	5.357347668
431	5.35694901
432	5.356794474
433	5.356206459
434	5.356163544
435	5.355654732
436	5.355422487
437	5.355270825
438	5.355164824
439	5.354740842
440	5.353967143
441	5.353948855
442	5.353595119
443	5.353583261
444	5.353336594
445	5.353336018
446	5.353173765
447	5.352765604
448	5.352199228
449	5.352197872
450	5.352132515
451	5.351963768
452	5.351506458
453	5.351038506
454	5.351012009
455	5.350993802
456	5.350646508
457	5.350409652
458	5.34998488
459	5.34935955
460	5.34923963
461	5.349013574
462	5.348992553
463	5.348551489
464	5.348326914
465	5.347490289
466	5.346999209
467	5.346829366
468	5.34618918
469	5.345923175
470	5.345408844
471	5.345326735
472	5.345198747
473	5.345062459
474	5.344654305
475	5.34441403
476	5.344109705
477	5.343825556
478	5.343518894
479	5.343367658
480	5.342917994
481	5.342669151
482	5.342382044
483	5.342308635
484	5.342047079
485	5.341413828
486	5.341233159
487	5.340712034
488	5.340525694
489	5.340439281
490	5.340241358
491	5.339943684
492	5.33944094
493	5.338941961
494	5.338735412
495	5.338382398
496	5.338331841
497	5.338237293
498	5.338030193
499	5.337420691
500	5.337416357
501	5.337064597
502	5.336884509
503	5.336498084
504	5.336474568
505	5.336453896
506	5.335830574
507	5.335349019
508	5.335068546
509	5.334808434
510	5.334430405
511	5.334337386
512	5.334009272
513	5.333616281
514	5.333404542
515	5.333104385
516	5.332814229
517	5.332453241
518	5.332375466
519	5.332232066
520	5.33211191
521	5.331831402
522	5.331755497
523	5.331599994
524	5.331598391
