iter	Passed	Remaining
0	1441	1439739
1	2531	1263227
2	3500	1163319
3	4186	1042319
4	4787	952808
5	5612	929841
6	6665	945593
7	7847	973134
8	9346	1029168
9	9990	989074
10	11300	1016022
11	12640	1040766
12	13769	1045415
13	15178	1068992
14	16118	1058458
15	17479	1074964
16	18821	1088307
17	20202	1102153
18	21619	1116226
19	22896	1121943
20	24019	1119772
21	25480	1132733
22	26877	1141716
23	28028	1139820
24	29309	1143071
25	30623	1147189
26	32093	1156550
27	33455	1161368
28	35145	1176782
29	36462	1178940
30	37845	1182962
31	38877	1176030
32	39880	1168631
33	40689	1156060
34	41880	1154700
35	43326	1160181
36	44614	1161177
37	46199	1169578
38	47068	1159811
39	48258	1158210
40	49782	1164427
41	51073	1164965
42	52376	1165686
43	53641	1165489
44	55063	1168571
45	56545	1172702
46	58135	1178793
47	59466	1179421
48	60851	1181024
49	62317	1184028
50	63392	1179605
51	64635	1178361
52	66043	1180055
53	67568	1183695
54	68949	1184675
55	70426	1187192
56	72320	1196464
57	73709	1197151
58	75132	1198299
59	76578	1199735
60	78157	1203118
61	79193	1198128
62	80963	1204178
63	82205	1202259
64	83382	1199430
65	84923	1201789
66	86655	1206713
67	88195	1208794
68	89198	1203539
69	90766	1205898
70	92140	1205610
71	93624	1206720
72	94779	1203570
73	96178	1203527
74	97818	1206430
75	99319	1207514
76	100695	1207041
77	102149	1207465
78	103447	1206018
79	105153	1209263
80	106459	1207850
81	108303	1212466
82	109804	1213137
83	111028	1210743
84	112278	1208641
85	113795	1209405
86	115138	1208292
87	116635	1208766
88	118229	1210187
89	119714	1210445
90	120794	1206615
91	122168	1205754
92	123572	1205159
93	125062	1205390
94	126063	1200920
95	127859	1204006
96	129335	1204016
97	130778	1203696
98	131977	1201130
99	133284	1199559
100	134929	1201009
101	136530	1202006
102	137743	1199570
103	139530	1202106
104	140576	1198250
105	142153	1198918
106	143645	1198832
107	144298	1191801
108	145927	1192860
109	147691	1194957
110	148489	1189257
111	149698	1186893
112	151020	1185447
113	152454	1184866
114	153991	1185066
115	155667	1186296
116	157491	1188587
117	159010	1188537
118	160555	1188646
119	162261	1189914
120	163451	1187387
121	165220	1189043
122	166236	1185279
123	167605	1184054
124	169186	1184302
125	170555	1183060
126	172149	1183356
127	173924	1184862
128	175326	1183791
129	176655	1182234
130	178225	1182277
131	179565	1180777
132	181370	1182319
133	182634	1180308
134	184108	1179656
135	185707	1179786
136	187074	1178431
137	188422	1176955
138	189665	1174835
139	191013	1173367
140	192379	1172016
141	193562	1169552
142	195476	1171492
143	197103	1171669
144	198289	1169221
145	199437	1166574
146	200743	1164855
147	202183	1163920
148	203554	1162580
149	204693	1159931
150	205989	1158179
151	207318	1156621
152	209039	1157231
153	210454	1156133
154	212628	1159167
155	213747	1156428
156	215522	1157229
157	216819	1155458
158	218426	1155323
159	219861	1154270
160	221338	1153433
161	222464	1150771
162	224285	1151701
163	225683	1150433
164	227402	1150796
165	228839	1149712
166	230262	1148554
167	231735	1147641
168	233852	1149891
169	235574	1150157
170	236795	1147975
171	238640	1148806
172	239664	1145678
173	241177	1144898
174	242681	1144070
175	244181	1143212
176	245430	1141180
177	247512	1143007
178	248739	1140865
179	250387	1140653
180	251818	1139446
181	252990	1137065
182	254476	1136104
183	256263	1136470
184	257017	1132267
185	258924	1133142
186	260460	1132378
187	261877	1131088
188	263321	1129913
189	265151	1130384
190	266756	1129874
191	269068	1132331
192	270481	1130979
193	271759	1129064
194	273558	1129305
195	275724	1131032
196	277345	1130499
197	278986	1130035
198	280509	1129085
199	281794	1127179
200	282936	1124708
201	284656	1124535
202	285915	1122535
203	287231	1120764
204	288577	1119117
205	289927	1117488
206	291345	1116119
207	292765	1114759
208	294725	1115443
209	296386	1114978
210	297961	1114178
211	299378	1112783
212	301037	1112282
213	302633	1111541
214	304374	1111321
215	306287	1111708
216	307605	1109932
217	309078	1108712
218	311436	1110647
219	312340	1107388
220	314482	1108515
221	316035	1107547
222	317430	1106023
223	319115	1105506
224	321256	1106549
225	322565	1104716
226	323705	1102310
227	325345	1101608
228	327146	1101441
229	328546	1099917
230	330441	1100039
231	331931	1098809
232	333446	1097655
233	334743	1095783
234	336579	1095674
235	337929	1093976
236	338748	1090569
237	339892	1088228
238	341486	1087328
239	342787	1085492
240	344503	1084970
241	346107	1084089
242	347497	1082533
243	349063	1081525
244	350302	1079502
245	351687	1077937
246	352440	1074443
247	354440	1074753
248	356164	1074214
249	358129	1074388
250	359241	1072000
251	359963	1068463
252	361117	1066224
253	362614	1065002
254	364038	1063562
255	365504	1062247
256	366922	1060790
257	368207	1058952
258	369852	1058148
259	371771	1058117
260	373653	1057969
261	375099	1056578
262	376657	1055501
263	378112	1054133
264	379445	1052424
265	380651	1050369
266	382154	1049134
267	383582	1047695
268	385377	1047252
269	386656	1045404
270	387892	1043444
271	389299	1041948
272	391005	1041249
273	393404	1042377
274	394976	1041301
275	396488	1040064
276	397848	1038428
277	399404	1037301
278	401283	1037007
279	402569	1035178
280	404397	1034739
281	405264	1031842
282	406598	1030144
283	408105	1028884
284	409484	1027303
285	410809	1025587
286	412278	1024232
287	413608	1022531
288	415396	1021961
289	416879	1020637
290	418557	1019784
291	420667	1019973
292	422108	1018534
293	423577	1017163
294	424705	1014975
295	426177	1013611
296	427507	1011912
297	428768	1010052
298	430161	1008505
299	431479	1006784
300	432768	1005000
301	433773	1002563
302	434929	1000481
303	435934	998061
304	437047	995894
305	438396	994272
306	440134	993529
307	441687	992363
308	443019	990701
309	444734	989893
310	446437	989052
311	447551	986908
312	448938	985370
313	450674	984593
314	452781	984619
315	454269	983292
316	455942	982361
317	457662	981527
318	458843	979536
319	460901	979415
320	462553	978422
321	463882	976745
322	465447	975565
323	467012	974383
324	468576	973197
325	470821	973417
326	472486	972427
327	473924	970966
328	475446	969680
329	476819	968087
330	478506	967133
331	480002	965788
332	482019	965486
333	483758	964619
334	485633	964019
335	487418	963232
336	489342	962712
337	491195	962045
338	492690	960674
339	494649	960202
340	496127	958791
341	497435	957054
342	498861	955546
343	500310	954080
344	502120	953300
345	503387	951490
346	505766	951774
347	507216	950302
348	508702	948898
349	509831	946830
350	511698	946132
351	513379	945085
352	514541	943082
353	515889	941424
354	517262	939814
355	518602	938146
356	520131	936819
357	521668	935505
358	523085	933976
359	524902	933160
360	526223	931460
361	527424	929549
362	528844	928027
363	530587	927070
364	532063	925643
365	533436	924039
366	534765	922361
367	536078	920657
368	537336	918860
369	538617	917105
370	539870	915305
371	541105	913478
372	542674	912216
373	544086	910690
374	545125	908542
375	546710	907307
376	548437	906303
377	549771	904649
378	550810	902515
379	551808	900319
380	553618	899449
381	554841	897623
382	555929	895584
383	557475	894282
384	559087	893087
385	560583	891704
386	561727	889764
387	562969	887983
388	564392	886487
389	565819	885000
390	567132	883333
391	568422	881634
392	569538	879669
393	571373	878813
394	572735	877228
395	574514	876279
396	576294	875328
397	578034	874313
398	579348	872653
399	580731	871096
400	582154	869601
401	583612	868160
402	585212	866927
403	586426	865124
404	587508	863129
405	588947	861661
